2025-04-24 22:28:09 -X1=-0.0522m, Y1=-0.0316m, Z1=0.2840m, A1=20.91 deg
2025-04-24 22:32:52 -X1=-0.0391m, Y1=-0.0347m, Z1=0.2840m, A1=20.49 deg
2025-04-25 11:59:27 -X1=-0.0405m, Y1=-0.0318m, Z1=0.2850m, A1=19.93 deg
2025-04-27 09:17:12 -X1=0.0279m, Y1=0.0009m, Z1=0.2820m, A1=16.61 deg
2025-04-27 09:17:55 -X1=0.0279m, Y1=0.0010m, Z1=0.2820m, A1=16.70 deg
2025-04-27 09:18:51 -X1=0.0279m, Y1=0.0008m, Z1=0.2820m, A1=16.36 deg
2025-04-27 09:20:50 -X1=0.0279m, Y1=0.0010m, Z1=0.2820m, A1=16.80 deg
2025-04-27 09:22:11 -X1=0.0271m, Y1=0.0004m, Z1=0.2810m, A1=16.88 deg
2025-04-27 17:21:39 -X1=0.0039m, Y1=0.0303m, Z1=0.2870m, A1=16.46 deg
2025-04-27 17:37:04 -X1=0.0081m, Y1=0.0280m, Z1=0.2870m, A1=16.42 deg
